LOADED: PID=35, Name=p35, CurrentInstruction=0, Instructions=1241, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=28, Name=p28, CurrentInstruction=5, Instructions=1301, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=6, Name=p6, CurrentInstruction=10, Instructions=1413, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=29, Name=p29, CurrentInstruction=5, Instructions=1087, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=0, Name=p0, CurrentInstruction=15, Instructions=1180, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=14, Name=p14, CurrentInstruction=10, Instructions=1927, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=36, Name=p36, CurrentInstruction=0, Instructions=1916, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=30, Name=p30, CurrentInstruction=5, Instructions=1338, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=37, Name=p37, CurrentInstruction=0, Instructions=1399, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=31, Name=p31, CurrentInstruction=5, Instructions=1057, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=15, Name=p15, CurrentInstruction=5, Instructions=1402, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=6, Name=p6, CurrentInstruction=15, Instructions=1413, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=38, Name=p38, CurrentInstruction=0, Instructions=1512, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=0, Name=p0, CurrentInstruction=20, Instructions=1180, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=39, Name=p39, CurrentInstruction=0, Instructions=1483, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=32, Name=p32, CurrentInstruction=5, Instructions=1609, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=7, Name=p7, CurrentInstruction=10, Instructions=1075, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=33, Name=p33, CurrentInstruction=5, Instructions=1119, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=40, Name=p40, CurrentInstruction=0, Instructions=1210, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=34, Name=p34, CurrentInstruction=5, Instructions=1400, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=16, Name=p16, CurrentInstruction=5, Instructions=1721, Size=512, Pages=8, Time=2025-08-03 18:19:04
STORED: PID=15, Name=p15, CurrentInstruction=10, Instructions=1402, Size=512, Pages=8, Time=2025-08-03 18:19:04
LOADED: PID=41, Name=p41, CurrentInstruction=0, Instructions=1780, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=35, Name=p35, CurrentInstruction=5, Instructions=1241, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=1, Name=p1, CurrentInstruction=15, Instructions=1121, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=7, Name=p7, CurrentInstruction=15, Instructions=1075, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=42, Name=p42, CurrentInstruction=0, Instructions=1698, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=36, Name=p36, CurrentInstruction=5, Instructions=1916, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=43, Name=p43, CurrentInstruction=0, Instructions=1943, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=16, Name=p16, CurrentInstruction=10, Instructions=1721, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=17, Name=p17, CurrentInstruction=5, Instructions=1964, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=37, Name=p37, CurrentInstruction=5, Instructions=1399, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=44, Name=p44, CurrentInstruction=0, Instructions=1662, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=1, Name=p1, CurrentInstruction=20, Instructions=1121, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=18, Name=p18, CurrentInstruction=5, Instructions=1272, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=38, Name=p38, CurrentInstruction=5, Instructions=1512, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=45, Name=p45, CurrentInstruction=0, Instructions=1479, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=39, Name=p39, CurrentInstruction=5, Instructions=1483, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=46, Name=p46, CurrentInstruction=0, Instructions=1193, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=17, Name=p17, CurrentInstruction=10, Instructions=1964, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=8, Name=p8, CurrentInstruction=10, Instructions=1270, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=40, Name=p40, CurrentInstruction=5, Instructions=1210, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=47, Name=p47, CurrentInstruction=0, Instructions=1414, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=18, Name=p18, CurrentInstruction=10, Instructions=1272, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=48, Name=p48, CurrentInstruction=0, Instructions=1568, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=41, Name=p41, CurrentInstruction=5, Instructions=1780, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=19, Name=p19, CurrentInstruction=5, Instructions=1457, Size=512, Pages=8, Time=2025-08-03 18:19:05
